Category	Chromosome	Loci Start	Loci End	Gene ID	Gene Symbol	Strand	Distance to TSS	Description	Conservation Score	Fractional Overlaping
Intron	chr3l	017855946	017856955	FBtr0273277	CG5535-RC	-	+0344	NA	NA	NA
5'UTR	chr3l	017894572	017895827	FBtr0075155	Tsp74F-RB	-	+0663	NA	NA	NA
Intron	chr3l	017904108	017904380	FBtr0075153	Prestin-RA	-	+3568	NA	NA	NA
Intron	chr3l	017905662	017907844	FBtr0075153	Prestin-RA	-	+1059	NA	NA	NA
Exon/CD	chr3l	017908081	017909304	FBtr0075144	CG14353-RA	+	+0549	NA	NA	NA
5'UTR	chr3l	017911551	017913193	FBtr0075152	CG5290-RA	-	+0193	NA	NA	NA
Intron	chr3l	017957433	017957817	FBtr0306814	Eip75B-RF	-	+107071	NA	NA	NA
Intron	chr3l	017958122	017958432	FBtr0306814	Eip75B-RF	-	+106419	NA	NA	NA
Intron	chr3l	017958631	017959007	FBtr0306814	Eip75B-RF	-	+105877	NA	NA	NA
Intron	chr3l	017959647	017961791	FBtr0306814	Eip75B-RF	-	+103977	NA	NA	NA
Intron	chr3l	017962778	017963077	FBtr0306814	Eip75B-RF	-	+101769	NA	NA	NA
Intron	chr3l	017969253	017969786	FBtr0306814	Eip75B-RF	-	+95177	NA	NA	NA
Intron	chr3l	017969954	017971143	FBtr0306814	Eip75B-RF	-	+94148	NA	NA	NA
Intron	chr3l	017971590	017971861	FBtr0306814	Eip75B-RF	-	+92971	NA	NA	NA
Intron	chr3l	017972841	017973055	FBtr0306814	Eip75B-RF	-	+91748	NA	NA	NA
Intron	chr3l	017994738	017994952	FBtr0306814	Eip75B-RF	-	+69851	NA	NA	NA
Intron	chr3l	017995134	017995429	FBtr0306814	Eip75B-RF	-	+69415	NA	NA	NA
Intron	chr3l	017995760	017996257	FBtr0306814	Eip75B-RF	-	+68688	NA	NA	NA
Intron	chr3l	017996612	017999480	FBtr0306814	Eip75B-RF	-	+66650	NA	NA	NA
Intron	chr3l	018000063	018000334	FBtr0347013	Eip75B-RG	-	+25834	NA	NA	NA
Upstream	chr3l	018104889	018107585	FBtr0333698	CG13698-RC	-	-0088	NA	NA	NA
Exon/CD	chr3l	018107848	018110937	FBtr0075136	CG5147-RA	-	+0182	NA	NA	NA
Intron	chr3l	018112964	018113551	FBtr0333696	CG32195-RB	+	+0298	NA	NA	NA
5'UTR	chr3l	018132082	018132554	FBtr0332863	Cyp312a1-RB	-	+0371	NA	NA	NA
5'UTR	chr3l	018139453	018139884	FBtr0075126	geko-RB	+	+0266	NA	NA	NA
Intron	chr3l	018140055	018140588	FBtr0075126	geko-RB	+	+0919	NA	NA	NA
Intron	chr3l	018183935	018185629	FBtr0075133	hid-RA	-	+0859	NA	NA	NA
Upstream	chr3l	018185790	018186057	FBtr0332862	hid-RB	-	-0282	NA	NA	NA
Exon/CD	chr3l	018397757	018398371	FBtr0075120	rpr-RA	-	+0371	NA	NA	NA
Upstream	chr3l	018399924	018400963	FBtr0075120	rpr-RA	-	-2008	NA	NA	NA
Intron	chr3l	018460649	018461055	FBtr0273401	CG32196-RB	-	+0172	NA	NA	NA
5'UTR	chr3l	018620617	018623618	FBtr0290259	not-RB	-	+0012	NA	NA	NA
5'UTR	chr3l	018625975	018627794	FBtr0075049	MYPT-75D-RA	+	+0925	NA	NA	NA
Intron	chr3l	018627887	018628148	FBtr0075049	MYPT-75D-RA	+	+2058	NA	NA	NA
5'UTR	chr3l	018641452	018642147	FBtr0331421	MYPT-75D-RC	+	+0408	NA	NA	NA
Exon/CD	chr3l	018667319	018668021	FBtr0300582	CG42495-RA	+	+0309	NA	NA	NA
Intron	chr3l	018671303	018673725	FBtr0075098	Capr-RA	-	+0646	NA	NA	NA
Upstream	chr3l	018674758	018676838	FBtr0075050	GNBP1-RA	+	-0002	NA	NA	NA
Intron	chr3l	018680827	018684008	FBtr0075051	CG32202-RA	+	+0233	NA	NA	NA
Exon/CD	chr3l	018685808	018686340	FBtr0345812	Cyp12c1-RB	-	+0245	NA	NA	NA
Exon/CD	chr3l	018745811	018748553	FBtr0075088	Nufip-RA	-	+1185	NA	NA	NA
Intron	chr3l	018748691	018749910	FBtr0075055	Atg3-RA	+	+0613	NA	NA	NA
5'UTR	chr3l	018765311	018765603	FBtr0304627	ftz-f1-RC	-	+0287	NA	NA	NA
Exon/CD	chr3l	018799475	018801417	FBtr0347047	CR45939-RA	-	+0866	NA	NA	NA
Intron	chr3l	018811812	018812131	FBtr0332801	CG14073-RC	-	+8704	NA	NA	NA
Intron	chr3l	018814652	018815070	FBtr0332801	CG14073-RC	-	+5814	NA	NA	NA
Intron	chr3l	018816586	018817794	FBtr0332801	CG14073-RC	-	+3485	NA	NA	NA
Intron	chr3l	018818162	018818647	FBtr0332801	CG14073-RC	-	+2271	NA	NA	NA
5'UTR	chr3l	018818889	018820732	FBtr0332801	CG14073-RC	-	+0865	NA	NA	NA
Intron	chr3l	018820813	018824976	FBtr0075058	Cat-RA	+	+0290	NA	NA	NA
Intron	chr3l	018825759	018826090	FBtr0075058	Cat-RA	+	+3320	NA	NA	NA
Exon/CD	chr3l	018826320	018826669	FBtr0075058	Cat-RA	+	+3890	NA	NA	NA
Intron	chr3l	018833596	018833827	FBtr0301857	Indy-RD	-	+6805	NA	NA	NA
Intron	chr3l	018839017	018840543	FBtr0301857	Indy-RD	-	+0736	NA	NA	NA
Intron	chr3l	018840728	018840999	FBtr0075082	Indy-RC	-	+0548	NA	NA	NA
Intron	chr3l	018841703	018842021	FBtr0075081	Indy-RB	-	+4405	NA	NA	NA
Intron	chr3l	018845358	018846342	FBtr0075081	Indy-RB	-	+0417	NA	NA	NA
3'UTR	chr3l	018866146	018874065	FBtr0075080	Rad9-RA	-	+2448	NA	NA	NA
Intron	chr3l	018887803	018888129	FBtr0075077	CG3961-RA	-	+2517	NA	NA	NA
Intron	chr3l	018888299	018890438	FBtr0075077	CG3961-RA	-	+1115	NA	NA	NA
Exon/CD	chr3l	018894385	018894852	FBtr0075076	CG3902-RA	-	+3675	NA	NA	NA
Intron	chr3l	018895276	018895784	FBtr0075076	CG3902-RA	-	+2763	NA	NA	NA
Upstream	chr3l	018895964	018898269	FBtr0091666	snoRNA	-	-0660	NA	NA	NA
Exon/CD	chr3l	018899025	018902940	FBtr0075075	arx-RA	-	+0572	NA	NA	NA
Exon/CD	chr3l	018903076	018904914	FBtr0075074	CSN1b-RA	-	+0935	NA	NA	NA
Exon/CD	chr3l	018905402	018906454	FBtr0075068	CG6841-RA	+	+0556	NA	NA	NA
Exon/CD	chr3l	018992506	018992723	FBtr0332651	CG18135-RE	-	+0202	NA	NA	NA
Intron	chr3l	018993654	018995893	FBtr0075042	CG18135-RA	-	+1036	NA	NA	NA
Intron	chr3l	018996021	018998692	FBtr0075043	CG18135-RB	-	+0927	NA	NA	NA
Exon/CD	chr3l	018998910	019000633	FBtr0075041	CG3808-RA	-	+0837	NA	NA	NA
Intron	chr3l	019039860	019040566	FBtr0332650	nkd-RC	-	+5236	NA	NA	NA
Intron	chr3l	019040679	019040950	FBtr0332650	nkd-RC	-	+4635	NA	NA	NA
Intron	chr3l	019042949	019045414	FBtr0332650	nkd-RC	-	+1268	NA	NA	NA
Upstream	chr3l	019061686	019064513	FBtr0075025	CG6812-RA	+	-0066	NA	NA	NA
Intron	chr3l	019084745	019084986	FBtr0333220	Mkp3-RD	-	+1561	NA	NA	NA
5'UTR	chr3l	019085110	019086465	FBtr0333220	Mkp3-RD	-	+0639	NA	NA	NA
Upstream	chr3l	019087191	019087646	FBtr0075035	Mkp3-RB	-	-0992	NA	NA	NA
Exon/CD	chr3l	019092649	019093847	FBtr0075026	MESR6-RA	+	+0578	NA	NA	NA
Exon/CD	chr3l	019095154	019096256	FBtr0075034	CG11577-RA	-	+0512	NA	NA	NA
Exon/CD	chr3l	019096484	019097850	FBtr0075033	CG10424-RA	-	+0542	NA	NA	NA
Intron	chr3l	019098079	019098414	FBtr0075027	CG14079-RA	+	+0247	NA	NA	NA
Exon/CD	chr3l	019099449	019100402	FBtr0075032	Gem2-RA	-	+0430	NA	NA	NA
Intron	chr3l	019164631	019165022	FBtr0332735	fz2-RG	-	+5822	NA	NA	NA
Intron	chr3l	019165092	019166229	FBtr0332735	fz2-RG	-	+4988	NA	NA	NA
Intron	chr3l	019166303	019167160	FBtr0332735	fz2-RG	-	+3917	NA	NA	NA
Intron	chr3l	019167326	019167736	FBtr0332735	fz2-RG	-	+3117	NA	NA	NA
Intron	chr3l	019168134	019170612	FBtr0332735	fz2-RG	-	+1275	NA	NA	NA
Intron	chr3l	019170772	019171656	FBtr0299586	fz2-RD	-	+64159	NA	NA	NA
Upstream	chr3l	019234597	019235408	FBtr0091624	CG33647-RA	+	-1358	NA	NA	NA
5'UTR	chr3l	019254216	019256560	FBtr0331852	rept-RB	+	+0048	NA	NA	NA
Intron	chr3l	019258834	019261147	FBtr0075019	nes-RA	-	+0689	NA	NA	NA
Exon/CD	chr3l	019261379	019265557	FBtr0345391	Max-RD	-	+0716	NA	NA	NA
Exon/CD	chr3l	019266063	019266324	FBtr0344456	CG45081-RA	+	+0132	NA	NA	NA
Exon/CD	chr3l	019267663	019268556	FBtr0075017	CG9629-RA	-	+0804	NA	NA	NA
Intron	chr3l	019287942	019288180	FBtr0345390	Gbs-76A-RD	-	+4705	NA	NA	NA
5'UTR	chr3l	019291158	019292665	FBtr0332155	Gbs-76A-RC	-	+0613	NA	NA	NA
Intron	chr3l	019294700	019295844	FBtr0321324	fal-RC	+	+0505	NA	NA	NA
Exon/CD	chr3l	019445621	019446559	FBtr0302886	CG33062-RA	-	+0293	NA	NA	NA
Exon/CD	chr3l	019447146	019448362	FBtr0074998	Chd3-RA	+	+0581	NA	NA	NA
Exon/CD	chr3l	019487677	019488304	FBtr0091951	pncr009	-	+0449	NA	NA	NA
Intron	chr3l	019495664	019497169	FBtr0333847	CG9449-RH	-	+1307	NA	NA	NA
Intron	chr3l	019500373	019500696	FBtr0333845	CG9451-RB	-	+0264	NA	NA	NA
Exon/CD	chr3l	019542612	019542861	FBtr0332758	CG9279-RC	-	+0218	NA	NA	NA
Upstream	chr3l	019550386	019553676	FBtr0074938	CG9300-RA	+	-0389	NA	NA	NA
Exon/CD	chr3l	019556009	019556543	FBtr0342759	CR44677-RA	-	+0926	NA	NA	NA
Upstream	chr3l	019558570	019559426	FBtr0342759	CR44677-RA	-	-1796	NA	NA	NA
Upstream	chr3l	019561812	019562243	FBtr0346990	CR45916-RA	+	-0609	NA	NA	NA
Exon/CD	chr3l	019562688	019566564	FBtr0346990	CR45916-RA	+	+1990	NA	NA	NA
Upstream	chr3l	019584560	019584810	FBtr0074973	Shal-RA	-	-0117	NA	NA	NA
5'UTR	chr3l	019584968	019587657	FBtr0074940	CG9330-RA	+	+0059	NA	NA	NA
Exon/CD	chr3l	019589460	019590676	FBtr0074971	CG14100-RA	-	+0456	NA	NA	NA
Exon/CD	chr3l	019597017	019598750	FBtr0306009	ash1-RB	-	+0872	NA	NA	NA
Exon/CD	chr3l	019599048	019600161	FBtr0074941	Taf6-RA	+	+0516	NA	NA	NA
Exon/CD	chr3l	019606211	019607473	FBtr0074945	CG9372-RA	+	+0634	NA	NA	NA
5'UTR	chr3l	019610979	019613412	FBtr0273410	Lon-RC	-	+0004	NA	NA	NA
Upstream	chr3l	019617050	019619999	FBtr0074966	l(3)76BDm-RA	-	-0003	NA	NA	NA
Intron	chr3l	019630660	019631282	FBtr0074964	wnd-RB	-	+4657	NA	NA	NA
Intron	chr3l	019631512	019635609	FBtr0074964	wnd-RB	-	+2068	NA	NA	NA
Intron	chr3l	019641563	019642782	FBtr0331862	CG8786-RG	-	+0644	NA	NA	NA
Intron	chr3l	019649003	019649831	FBtr0074961	Oat-RA	-	+0434	NA	NA	NA
Intron	chr3l	019663151	019664431	FBtr0331861	tey-RD	-	+0313	NA	NA	NA
Upstream	chr3l	019665015	019665577	FBtr0331861	tey-RD	-	-1192	NA	NA	NA
Downstream	chr3l	019682491	019683859	FBtr0331859	CG8765-RC	-	+4178	NA	NA	NA
Exon/CD	chr3l	019686391	019687360	FBtr0331859	CG8765-RC	-	+0478	NA	NA	NA
Intron	chr3l	019693888	019695260	FBtr0302335	verm-RG	-	+0686	NA	NA	NA
Downstream	chr3l	019699864	019700100	FBtr0333862	serp-RC	-	+7718	NA	NA	NA
Intron	chr3l	019704608	019704919	FBtr0333862	serp-RC	-	+2937	NA	NA	NA
Intron	chr3l	019705356	019705668	FBtr0333862	serp-RC	-	+2188	NA	NA	NA
Intron	chr3l	019705740	019707697	FBtr0333862	serp-RC	-	+0982	NA	NA	NA
Upstream	chr3l	019708043	019708319	FBtr0074953	serp-RB	-	-0166	NA	NA	NA
Upstream	chr3l	019789300	019793588	FBtr0074875	SREBP-RC	+	-2491	NA	NA	NA
Intron	chr3l	019793657	019795706	FBtr0333877	SREBP-RD	+	+0746	NA	NA	NA
Exon/CD	chr3l	019800610	019801365	FBtr0074928	CG14102-RA	-	+0304	NA	NA	NA
Exon/CD	chr3l	019804036	019809163	FBtr0074880	CG15881-RA	+	+0504	NA	NA	NA
Intron	chr3l	019814787	019815976	FBtr0074924	cyc-RA	-	+0557	NA	NA	NA
5'UTR	chr3l	019816339	019819585	FBtr0310477	Fibp-RE	-	+0005	NA	NA	NA
Exon/CD	chr3l	019819805	019820198	FBtr0332726	Deaf1-RE	+	+0899	NA	NA	NA
Exon/CD	chr3l	019832716	019837853	FBtr0301008	CG32221-RB	+	+0614	NA	NA	NA
Intron	chr3l	019845137	019846518	FBtr0074885	Papss-RB	+	+0534	NA	NA	NA
Intron	chr3l	019847365	019848557	FBtr0074888	Papss-RD	+	+0652	NA	NA	NA
Intron	chr3l	019857659	019858612	FBtr0074889	Papss-RE	+	+9970	NA	NA	NA
Exon/CD	chr3l	019858850	019859093	FBtr0074889	Papss-RE	+	+10806	NA	NA	NA
Exon/CD	chr3l	019861366	019861877	FBtr0345884	CR45433-RA	+	+0163	NA	NA	NA
Upstream	chr3l	019869048	019873167	FBtr0332148	Usp32-RB	+	-0032	NA	NA	NA
Exon/CD	chr3l	019873750	019874038	FBtr0332150	Usp32-RD	+	+2755	NA	NA	NA
Intron	chr3l	019891448	019891697	FBtr0302046	Mi-2-RC	-	+18643	NA	NA	NA
Intron	chr3l	019894018	019898336	FBtr0302046	Mi-2-RC	-	+14038	NA	NA	NA
Intron	chr3l	019898489	019899411	FBtr0302046	Mi-2-RC	-	+11265	NA	NA	NA
Intron	chr3l	019899533	019900950	FBtr0302046	Mi-2-RC	-	+9974	NA	NA	NA
Intron	chr3l	019901076	019903548	FBtr0302046	Mi-2-RC	-	+7903	NA	NA	NA
Intron	chr3l	019903715	019904547	FBtr0302046	Mi-2-RC	-	+6084	NA	NA	NA
Intron	chr3l	019904664	019905413	FBtr0302046	Mi-2-RC	-	+5177	NA	NA	NA
Intron	chr3l	019905499	019912108	FBtr0302046	Mi-2-RC	-	+1412	NA	NA	NA
Exon/CD	chr3l	019912614	019913748	FBtr0074918	Mtr3-RA	-	+0534	NA	NA	NA
Exon/CD	chr3l	019915015	019918213	FBtr0074893	Rpn1-RA	+	+1563	NA	NA	NA
5'UTR	chr3l	019921729	019924729	FBtr0074916	Su(z)12-RA	-	+0233	NA	NA	NA
Exon/CD	chr3l	019924901	019927078	FBtr0074895	Grasp65-RA	+	+1046	NA	NA	NA
Exon/CD	chr3l	019927348	019928679	FBtr0074915	CG8004-RA	-	+0495	NA	NA	NA
Intron	chr3l	019928775	019931144	FBtr0331800	RhoGDI-RB	+	+1216	NA	NA	NA
Intron	chr3l	019939286	019940866	FBtr0304746	Ac76E-RB	+	+0789	NA	NA	NA
Exon/CD	chr3l	019979028	019979842	FBtr0346534	CG14182-RD	-	+0377	NA	NA	NA
Intron	chr3l	019991838	019993489	FBtr0074901	CG7646-RB	+	+0776	NA	NA	NA
Intron	chr3l	019999920	020000236	FBtr0302049	CG7433-RC	-	+0548	NA	NA	NA
Downstream	chr3l	020001104	020003850	FBtr0074903	Tom20-RA	+	+1389	NA	NA	NA
Intron	chr3l	020006346	020008324	FBtr0332721	kug-RC	+	+0751	NA	NA	NA
Intron	chr3l	020027960	020029011	FBtr0074872	CG14184-RA	-	+0535	NA	NA	NA
Exon/CD	chr3l	020129156	020130175	FBtr0332690	gig-RB	+	+0484	NA	NA	NA
Exon/CD	chr3l	020139927	020140636	FBtr0074864	CG7328-RA	-	+0326	NA	NA	NA
Intron	chr3l	020188617	020189570	FBtr0332698	CG42674-RF	-	+9224	NA	NA	NA
Intron	chr3l	020193183	020193449	FBtr0332698	CG42674-RF	-	+5001	NA	NA	NA
5'UTR	chr3l	020197066	020198426	FBtr0332698	CG42674-RF	-	+0571	NA	NA	NA
Upstream	chr3l	020198527	020198856	FBtr0303852	CG42833-RA	+	-1402	NA	NA	NA
Exon/CD	chr3l	020226305	020227700	FBtr0074826	Su(var)3-3-RB	+	+0621	NA	NA	NA
Intron	chr3l	020240212	020243655	FBtr0074829	CG6951-RA	+	+0370	NA	NA	NA
Exon/CD	chr3l	020296044	020297012	FBtr0074847	FRG1-RA	-	+0443	NA	NA	NA
Intron	chr3l	020300962	020302403	FBtr0344228	CG6597-RE	+	+2272	NA	NA	NA
Intron	chr3l	020302454	020303594	FBtr0074837	CG6597-RA	+	+0593	NA	NA	NA
Intron	chr3l	020310032	020311225	FBtr0100318	polo-RB	+	+0581	NA	NA	NA
Intron	chr3l	020313646	020314943	FBtr0074840	alphaSnap-RA	+	+0662	NA	NA	NA
5'UTR	chr3l	020316476	020318643	FBtr0345816	Spn77Ba-RC	+	+0369	NA	NA	NA
Exon/CD	chr3l	020347308	020348272	FBtr0078242	Rbbp5-RA	-	+0152	NA	NA	NA
Intron	chr3l	020348351	020350401	FBtr0078178	eRF1-RG	+	+0439	NA	NA	NA
5'UTR	chr3l	020353277	020353847	FBtr0331819	CG5618-RD	+	+0113	NA	NA	NA
5'UTR	chr3l	020354170	020354522	FBtr0331820	CG5618-RE	+	+0426	NA	NA	NA
Exon/CD	chr3l	020356806	020358108	FBtr0078181	kin17-RA	+	+0650	NA	NA	NA
Exon/CD	chr3l	020360423	020361640	FBtr0078241	DNApol-alpha60-RA	-	+0554	NA	NA	NA
Exon/CD	chr3l	020367188	020368124	FBtr0078183	in-RA	+	+0458	NA	NA	NA
5'UTR	chr3l	020374535	020378028	FBtr0078185	RhoBTB-RA	+	+0039	NA	NA	NA
Intron	chr3l	020382539	020389379	FBtr0078186	fbl-RB	+	+1530	NA	NA	NA
Exon/CD	chr3l	020392226	020392471	FBtr0307394	CG33969-RC	-	+1205	NA	NA	NA
Exon/CD	chr3l	020392554	020393679	FBtr0307394	CG33969-RC	-	+0437	NA	NA	NA
Exon/CD	chr3l	020395688	020395918	FBtr0346407	CR45677-RA	-	+0048	NA	NA	NA
3'UTR	chr3l	020396584	020396981	FBtr0078235	trbl-RA	-	+4827	NA	NA	NA
Intron	chr3l	020397546	020397845	FBtr0078235	trbl-RA	-	+3914	NA	NA	NA
Intron	chr3l	020397992	020401667	FBtr0078235	trbl-RA	-	+1780	NA	NA	NA
Intron	chr3l	020413556	020414291	FBtr0078191	zye-RA	+	+0319	NA	NA	NA
Intron	chr3l	020414785	020415221	FBtr0078191	zye-RA	+	+1399	NA	NA	NA
Exon/CD	chr3l	020425266	020425584	FBtr0078233	CG5282-RA	-	+0646	NA	NA	NA
Exon/CD	chr3l	020426571	020427681	FBtr0078232	CG5274-RA	-	+0498	NA	NA	NA
Exon/CD	chr3l	020429187	020430546	FBtr0310615	CG5262-RB	-	+0609	NA	NA	NA
Exon/CD	chr3l	020430611	020433848	FBtr0290266	Las-RC	-	+0132	NA	NA	NA
Exon/CD	chr3l	020434063	020434316	FBtr0114517	Psn-RC	+	+1550	NA	NA	NA
5'UTR	chr3l	020434953	020437444	FBtr0078227	mRpL15-RA	-	+0011	NA	NA	NA
Intron	chr3l	020442573	020442850	FBtr0078195	CG5910-RA	+	+0292	NA	NA	NA
Intron	chr3l	020444953	020446313	FBtr0300411	CG5910-RB	+	+0475	NA	NA	NA
Exon/CD	chr3l	020451719	020453089	FBtr0078224	CG5199-RA	-	+0460	NA	NA	NA
Exon/CD	chr3l	020453162	020454393	FBtr0114358	snoRNA	+	+0044	NA	NA	NA
Intron	chr3l	020470775	020473579	FBtr0303381	CG32428-RC	-	+1195	NA	NA	NA
5'UTR	chr3l	020473680	020476637	FBtr0078200	isoQC-RA	+	+0196	NA	NA	NA
Intron	chr3l	020492579	020493469	FBtr0078201	ND-39-RA	+	+0942	NA	NA	NA
Intron	chr3l	020494443	020494936	FBtr0078201	ND-39-RA	+	+2607	NA	NA	NA
Exon/CD	chr3l	020495363	020498528	FBtr0331564	ND-39-RB	+	+1598	NA	NA	NA
5'UTR	chr3l	020508463	020511044	FBtr0078205	CG32425-RA	+	+0066	NA	NA	NA
Intron	chr3l	020515772	020521889	FBtr0078216	CG5059-RA	-	+0563	NA	NA	NA
Upstream	chr3l	020524993	020527522	FBtr0078214	CG4825-RA	-	-0083	NA	NA	NA
5'UTR	chr3l	020619789	020620687	FBtr0078212	knrl-RA	-	+0421	NA	NA	NA
Upstream	chr3l	020621034	020621635	FBtr0346815	knrl-RB	-	-0675	NA	NA	NA
Exon/CD	chr3l	020692783	020693174	FBtr0344836	kni-RB	-	+1578	NA	NA	NA
Intron	chr3l	020694244	020695440	FBtr0078283	kni-RA	-	+0536	NA	NA	NA
Upstream	chr3l	020695721	020696335	FBtr0078283	kni-RA	-	-0650	NA	NA	NA
Upstream	chr3l	020729937	020730252	FBtr0333483	CR43945-RA	-	-0438	NA	NA	NA
Intron	chr3l	020730612	020732275	FBtr0078245	CG13252-RA	+	+0852	NA	NA	NA
Intron	chr3l	020732553	020732987	FBtr0078245	CG13252-RA	+	+2179	NA	NA	NA
Intron	chr3l	020734365	020734579	FBtr0078245	CG13252-RA	+	+3881	NA	NA	NA
Exon/CD	chr3l	020768601	020773219	FBtr0078279	CG4042-RA	-	+0183	NA	NA	NA
Upstream	chr3l	020776940	020780178	FBtr0078251	Pex14-RA	+	-0240	NA	NA	NA
5'UTR	chr3l	020783981	020788176	FBtr0078277	CG11399-RB	-	+0119	NA	NA	NA
Exon/CD	chr3l	020798653	020799992	FBtr0078253	CG4365-RA	+	+0615	NA	NA	NA
Exon/CD	chr3l	020800447	020801610	FBtr0078255	Spc105R-RA	+	+0618	NA	NA	NA
Upstream	chr3l	020807840	020811395	FBtr0078256	HIPP1-RA	+	-0052	NA	NA	NA
Intron	chr3l	020815138	020817261	FBtr0300530	Pka-R1-RP	+	+0081	NA	NA	NA
5'UTR	chr3l	020827912	020828455	FBtr0300529	Pka-R1-RN	+	+0165	NA	NA	NA
Intron	chr3l	020828723	020828960	FBtr0302638	Pka-R1-RW	+	+0616	NA	NA	NA
Intron	chr3l	020829192	020829402	FBtr0302638	Pka-R1-RW	+	+1072	NA	NA	NA
3'UTR	chr3l	020837699	020839663	FBtr0078263	CG13255-RA	+	+0781	NA	NA	NA
5'UTR	chr3l	020840177	020842837	FBtr0078269	CSN3-RA	-	+0069	NA	NA	NA
Intron	chr3l	021007682	021008250	FBtr0078329	skd-RC	-	+19468	NA	NA	NA
Intron	chr3l	021008521	021008910	FBtr0078329	skd-RC	-	+18719	NA	NA	NA
Intron	chr3l	021009077	021009539	FBtr0078329	skd-RC	-	+18126	NA	NA	NA
Intron	chr3l	021009868	021011760	FBtr0078329	skd-RC	-	+16620	NA	NA	NA
Intron	chr3l	021012063	021013128	FBtr0078329	skd-RC	-	+14839	NA	NA	NA
Intron	chr3l	021013197	021014849	FBtr0078329	skd-RC	-	+13411	NA	NA	NA
Upstream	chr3l	021023521	021029922	FBtr0078287	CG10585-RA	+	-1194	NA	NA	NA
Exon/CD	chr3l	021030340	021034277	FBtr0304820	Sin-RC	+	+0483	NA	NA	NA
Intron	chr3l	021034532	021036330	FBtr0078289	siz-RB	+	+0896	NA	NA	NA
Intron	chr3l	021036430	021036702	FBtr0078289	siz-RB	+	+2031	NA	NA	NA
Intron	chr3l	021056733	021057042	FBtr0301602	siz-RD	+	+8661	NA	NA	NA
Intron	chr3l	021057193	021057416	FBtr0301602	siz-RD	+	+9078	NA	NA	NA
Intron	chr3l	021057814	021058708	FBtr0301602	siz-RD	+	+10035	NA	NA	NA
Intron	chr3l	021058869	021061348	FBtr0078290	siz-RA	+	+1276	NA	NA	NA
Intron	chr3l	021061921	021062274	FBtr0078290	siz-RA	+	+3265	NA	NA	NA
Intron	chr3l	021062599	021062899	FBtr0078290	siz-RA	+	+3917	NA	NA	NA
Intron	chr3l	021067960	021068449	FBtr0111038	siz-RC	+	+0316	NA	NA	NA
Exon/CD	chr3l	021068664	021068968	FBtr0111038	siz-RC	+	+0928	NA	NA	NA
Exon/CD	chr3l	021070612	021071063	FBtr0111038	siz-RC	+	+2949	NA	NA	NA
Upstream	chr3l	021130486	021131142	FBtr0078292	CG10566-RA	+	-0632	NA	NA	NA
Exon/CD	chr3l	021131842	021132244	FBtr0305500	CG10566-RB	+	+0324	NA	NA	NA
Intron	chr3l	021135097	021136045	FBtr0078323	CG10565-RA	-	+0481	NA	NA	NA
5'UTR	chr3l	021149965	021150636	FBtr0330066	Ac78C-RD	-	+0343	NA	NA	NA
Exon/CD	chr3l	021172830	021174846	FBtr0089463	AsnS-RA	+	+0720	NA	NA	NA
Intron	chr3l	021175667	021177822	FBtr0089461	chb-RA	+	+0963	NA	NA	NA
Exon/CD	chr3l	021195831	021197515	FBtr0078319	park-RC	-	+0096	NA	NA	NA
Intron	chr3l	021199906	021200685	FBtr0078317	CG33054-RA	-	+2587	NA	NA	NA
Intron	chr3l	021201238	021203506	FBtr0078312	CG33056-RB	-	+0510	NA	NA	NA
Exon/CD	chr3l	021204909	021206932	FBtr0078299	CG10512-RC	+	+0340	NA	NA	NA
5'UTR	chr3l	021216001	021218010	FBtr0307160	Ilk-RB	+	+0104	NA	NA	NA
Intron	chr3l	021240408	021242046	FBtr0078307	Eip78C-RB	+	+0880	NA	NA	NA
Intron	chr3l	021251532	021251805	FBtr0078307	Eip78C-RB	+	+11321	NA	NA	NA
Intron	chr3l	021252188	021252435	FBtr0078307	Eip78C-RB	+	+11964	NA	NA	NA
Intron	chr3l	021256507	021256717	FBtr0078307	Eip78C-RB	+	+16265	NA	NA	NA
Intron	chr3l	021267001	021268125	FBtr0078417	CG9391-RA	-	+0402	NA	NA	NA
3'UTR	chr3l	021268251	021268690	FBtr0078415	CG9389-RA	-	+2110	NA	NA	NA
Intron	chr3l	021274425	021274681	FBtr0078413	AcCoAS-RA	-	+5690	NA	NA	NA
Intron	chr3l	021276832	021279947	FBtr0078413	AcCoAS-RA	-	+1854	NA	NA	NA
Exon/CD	chr3l	021280154	021281598	FBtr0078412	ppl-RA	-	+0630	NA	NA	NA
3'UTR	chr3l	021281865	021282073	FBtr0345804	CG12974-RD	-	+3467	NA	NA	NA
Exon/CD	chr3l	021283163	021283396	FBtr0345804	CG12974-RD	-	+2157	NA	NA	NA
Intron	chr3l	021284145	021285318	FBtr0345804	CG12974-RD	-	+0705	NA	NA	NA
Exon/CD	chr3l	021286128	021287867	FBtr0078336	pzg-RA	+	+0898	NA	NA	NA
Exon/CD	chr3l	021292163	021292631	FBtr0078409	Cpr78Ca-RA	-	+0403	NA	NA	NA
Intron	chr3l	021303160	021305923	FBtr0321282	CG11309-RC	-	+0117	NA	NA	NA
Exon/CD	chr3l	021316406	021318048	FBtr0078405	Pc-RA	-	+0793	NA	NA	NA
Exon/CD	chr3l	021335105	021336828	FBtr0078342	CG7338-RA	+	+0751	NA	NA	NA
Intron	chr3l	021342518	021343736	FBtr0331797	CG7324-RB	-	+0589	NA	NA	NA
